ticker,ex_date,cash_amount_usd,currency,distribution_type,frequency,source_provider,source_endpoint,observed_at
NVDA,2026-09-10,0.25,USD,recurring,4,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-08-06,0.0966,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-08-13,0.0988,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-08-20,0.12,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-08-27,0.0928,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-09-03,0.0964,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-09-10,0.1011,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-09-17,0.0889,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVDY,2026-09-24,0.0995,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-08-04,0.2381,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-08-11,0.2246,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-08-18,0.1992,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-08-25,0.1681,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-09-01,0.3494,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-09-09,0.2032,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-09-15,0.1533,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVII,2026-09-22,0.1896,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-08-04,0.2311,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-08-11,0.2479,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-08-18,0.2461,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-08-25,0.2376,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-09-01,0.24,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-09-09,0.2486,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-09-15,0.2401,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
NVIT,2026-09-22,0.2431,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-08-04,0.1667,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-08-11,0.1734,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-08-18,0.1776,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-08-25,0.1841,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-09-01,0.1778,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-09-09,0.1788,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-09-15,0.1808,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TEST,2026-09-22,0.1783,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-08-04,0.1238,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-08-11,0.1134,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-08-18,0.1023,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-08-25,0.096,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-09-01,0.1019,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-09-09,0.1326,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-09-15,0.1183,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSII,2026-09-22,0.1205,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-08-06,0.2296,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-08-13,0.1788,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-08-20,0.2025,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-08-27,0.2135,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-09-03,0.2062,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-09-10,0.2153,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-09-17,0.2127,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
TSLY,2026-09-24,0.2147,USD,recurring,52,Massive,/stocks/v1/dividends,2026-09-26
